ID,NAME,cns e14,ovary adult,limb e14.5,whole brain e14.5,cns e11.5,cns e18,adrenal adult,thymus adult,bladder adult,lung adult,mammary gland adult,colon adult,frontal lobe adult,cerebellum adult,testis adult,spleen adult,cortex adult,subcutaneous fat pad adult,duodenum adult,genital fat pad adult,placenta adult,stomach adult,small intestine adult,kidney adult,large intestine adult,liver e14,liver e14.5,heart adult,liver e18,liver adult
636741,Zfp964,0.525645,0.398947,0.557948,0.593387,0.551051,0.640644,0.0808357,0.0932888,0.642213,0.273133,0.315621,0.168617,0.501879,0.427664,0.194473,0.100915,0.467964,0.387053,0.0514956,0.53515,1.33346,0.0325486,0.0669822,0.265859,0.154441,0.162551,0.151886,0.215543,0.145527,0.104631
100503949,Zfp965,3.49739,1.24533,3.68195,2.81239,3.60315,3.67809,0.273503,1.21241,5.61328,1.26663,1.28493,0.369208,3.58578,4.6372,1.17859,0.420131,3.27614,3.1658,0.123215,3.49722,3.44261,0.127731,0.369539,1.36282,1.07888,2.49147,1.65236,3.22215,2.53667,0.915331
667962,Zfp966,3.07412,0.734512,3.25808,2.22399,3.81726,2.70749,0.142863,0.817863,4.94448,0.910301,0.830995,0.298605,2.96895,3.9054,0.561593,0.273511,2.48896,2.04961,0.0555148,2.02657,2.92574,0.0570295,0.20853,0.826733,0.639433,1.88382,1.30904,2.28969,1.85754,0.62686
100303732,Zfp967,3.0485,0.729269,3.22821,2.20962,3.76061,2.69201,0.139933,0.812053,4.90736,0.893493,0.811591,0.29447,2.94099,3.87158,0.569285,0.276581,2.45607,2.02874,0.0544837,2.0163,2.89491,0.0577042,0.205017,0.813105,0.651947,1.87478,1.29628,2.27102,1.84115,0.624979
100043914,Zfp968,2.88664,0.734855,3.03614,2.08845,3.12101,2.57227,0.131197,0.777303,4.79168,0.857618,0.786167,0.296422,2.8319,3.73299,0.580293,0.252271,2.3994,2.05012,0.0568442,2.05787,2.77221,0.0696164,0.205342,0.828888,0.667809,1.81246,1.24047,2.27165,1.77204,0.638775
102639505,Zfp969,3.23268,0.80882,3.40471,2.3376,3.5149,2.88318,0.149182,0.858951,5.34001,0.971061,0.88579,0.324249,3.17703,4.17887,0.63139,0.277342,2.68955,2.28793,0.0598447,2.27662,3.11642,0.0445109,0.219932,0.89611,0.707172,2.03313,1.39453,2.54925,1.9964,0.705209
22759,Zfp97,0.96145,0.106003,1.28477,0.838949,1.20313,1.11752,0.00441201,0.249076,3.33387,0.40278,0.30301,0.150385,0.933156,0.685758,0.359566,0.184026,0.860749,0.446573,0.00353079,0.4884,2.15926,0.0074781,0.0530903,0.277793,0.392904,0.871312,0.677718,0.924585,0.862141,0.202995
628308,Zfp970,2.63523,1.23481,3.32667,2.00842,3.88677,2.4185,0.251497,1.01388,7.31952,1.40633,1.23603,0.506838,3.02053,4.31205,0.40132,0.536421,2.82398,3.45309,0.104746,2.96889,2.804,0.114886,0.432478,1.26133,0.923475,1.77664,1.27511,3.79803,2.0874,1.22871
626848,Zfp971,1.85414,0.542688,1.98166,1.52477,2.14515,1.98874,0.121097,0.672952,3.20279,0.874017,0.81315,0.271192,2.28508,2.71814,0.295795,0.315855,2.08735,1.78022,0.0585579,1.80143,1.57694,0.0555898,0.199804,0.819347,0.637263,1.19693,0.845612,2.15986,1.26937,0.610162
545490,Zfp973,3.51144,1.24867,3.7938,2.83336,3.64301,3.73163,0.274671,1.19574,5.70781,1.27609,1.2922,0.375299,3.7862,4.76437,1.21138,0.423267,3.45679,3.20703,0.125696,3.51218,3.6098,0.130635,0.367705,1.38858,1.09978,2.53994,1.68279,3.23742,2.54428,0.930083
