ID,NAME,GROUP,ASSIGNMENT,URL
65020,Zfp110,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/65020
66758,Zfp474,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/66758
68271,Zfp85os,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/68271
72020,Zfp654,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/72020
74400,Zfp819,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/74400
75424,Zfp820,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/75424
98403,Zfp451,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/98403
101197,Zfp956,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/101197
105590,Zfp957,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/105590
109910,Zfp91,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/109910
228913,Zfp217,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/228913
232976,Zfp574,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/232976
233905,Zfp646,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/233905
240186,Zfp438,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/240186
278304,Zfp385c,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/278304
338354,Zfp780b,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/338354
433791,Zfp992,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/433791
545938,Zfp607a,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/545938
666528,Zfp541,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/666528
100038371,Zfp389,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/100038371
100416830,Zfp572,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/100416830
100503000,Zfp993,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/100503000
20402,Zfp106,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/20402
22702,Zfp42,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/22702
22709,Zfp51,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/22709
22710,Zfp52,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/22710
22712,Zfp54,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/22712
22759,Zfp97,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/22759
24132,Zfp53,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/24132
64453,Zfp280b,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/64453
66869,Zfp869,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/66869
71508,Zfp935,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/71508
72611,Zfp655,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/72611
72672,Zfp518a,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/72672
72807,Zfp429,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/72807
74670,Zfp943,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/74670
77117,Zfp934,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/77117
112422,Zfp979,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/112422
195531,Zfp982,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/195531
210503,Zfp677,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/210503
212281,Zfp729a,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/212281
218314,Zfp595,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/218314
224598,Zfp758,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/224598
224691,Zfp472,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/224691
235047,Zfp809,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/235047
238673,Zfp367,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/238673
238692,Zfp874a,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/238692
240120,Zfp119b,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/240120
243905,Zfp568,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/243905
243963,Zfp473,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/243963
244556,Zfp791,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/244556
333473,Zfp36l3,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/333473
353208,Zfp931,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/353208
381066,Zfp948,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/381066
381067,Zfp229,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/381067
384763,Zfp667,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/384763
408067,Zfp874b,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/408067
414758,Zfp950,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/414758
434179,Zfp975,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/434179
449000,Zfp960,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/449000
545490,Zfp973,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/545490
626391,Zfp951,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/626391
626848,Zfp971,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/626848
627049,Zfp800,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/627049
628308,Zfp970,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/628308
630579,Zfp808,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/630579
636741,Zfp964,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/636741
666532,Zfp991,3,'bladder adult|heart adult|liver e14|liver e14.5|liver e18|placenta adult',https://www.ncbi.nlm.nih.gov/gene/666532
